epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.68558329,0.54000000,0.58571429,0.27333333,0.37272727,0.70530576,0.47000000,0.44827586,0.26000000,0.32911392
2,0.67791462,0.59000000,0.67532468,0.34666667,0.45814978,0.69506848,0.54000000,0.55882353,0.38000000,0.45238095
3,0.73257226,0.50333333,0.50167224,1.00000000,0.66815145,0.75014091,0.49000000,0.49494949,0.98000000,0.65771812
4,0.71256250,0.50666667,0.66666667,0.02666667,0.05128205,0.72765666,0.49000000,0.00000000,0.00000000,0.00000000
5,0.67479694,0.59333333,0.69444444,0.33333333,0.45045045,0.68952256,0.57000000,0.62068966,0.36000000,0.45569620
6,0.66604382,0.59000000,0.60629921,0.51333333,0.55595668,0.69074339,0.58000000,0.59090909,0.52000000,0.55319149
7,0.66004604,0.68333333,0.63033175,0.88666667,0.73684211,0.70328736,0.49000000,0.49315068,0.72000000,0.58536585
8,0.66333365,0.65333333,0.66911765,0.60666667,0.63636364,0.69878525,0.53000000,0.52941176,0.54000000,0.53465347
9,0.67096603,0.65000000,0.60765550,0.84666667,0.70752089,0.69261229,0.52000000,0.51428571,0.72000000,0.60000000
10,0.64621639,0.66000000,0.61428571,0.86000000,0.71666667,0.70556808,0.49000000,0.49295775,0.70000000,0.57851240
11,0.63490272,0.66333333,0.61290323,0.88666667,0.72479564,0.70561278,0.51000000,0.50684932,0.74000000,0.60162602
12,0.64712542,0.60333333,0.78181818,0.28666667,0.41951220,0.71156967,0.49000000,0.47619048,0.20000000,0.28169014
13,0.72373646,0.51000000,1.00000000,0.02000000,0.03921569,0.79305035,0.50000000,0.00000000,0.00000000,0.00000000
14,0.63673550,0.65000000,0.59911894,0.90666667,0.72148541,0.70292562,0.51000000,0.50617284,0.82000000,0.62595420
15,0.69663638,0.53000000,0.51546392,1.00000000,0.68027211,0.77558547,0.51000000,0.50526316,0.96000000,0.66206897
16,0.65257043,0.60000000,0.55597015,0.99333333,0.71291866,0.75594682,0.48000000,0.48913043,0.90000000,0.63380282
17,0.62688893,0.63666667,0.58102767,0.98000000,0.72952854,0.75454390,0.51000000,0.50588235,0.86000000,0.63703704
18,0.59394717,0.70333333,0.76991150,0.58000000,0.66159696,0.72434181,0.53000000,0.53658537,0.44000000,0.48351648
19,0.61740983,0.59666667,0.83720930,0.24000000,0.37305699,0.74755031,0.57000000,0.68421053,0.26000000,0.37681159
20,0.56921703,0.79333333,0.81884058,0.75333333,0.78472222,0.71742201,0.55000000,0.55102041,0.54000000,0.54545455
21,0.64433974,0.54666667,1.00000000,0.09333333,0.17073171,0.77691847,0.54000000,1.00000000,0.08000000,0.14814815
22,0.55485415,0.74666667,0.70555556,0.84666667,0.76969697,0.76456940,0.51000000,0.50793651,0.64000000,0.56637168
23,0.57067800,0.70000000,0.88461538,0.46000000,0.60526316,0.72873670,0.55000000,0.60869565,0.28000000,0.38356164
24,0.55588245,0.74333333,0.84761905,0.59333333,0.69803922,0.77068710,0.52000000,0.53125000,0.34000000,0.41463415
25,0.54959410,0.79333333,0.86666667,0.69333333,0.77037037,0.71545285,0.60000000,0.63157895,0.48000000,0.54545455
26,0.73297393,0.52666667,1.00000000,0.05333333,0.10126582,0.92541283,0.52000000,1.00000000,0.04000000,0.07692308
27,0.51636487,0.77666667,0.72432432,0.89333333,0.80000000,0.72520107,0.57000000,0.56140351,0.64000000,0.59813084
28,0.53587240,0.80666667,0.77380952,0.86666667,0.81761006,0.74527824,0.54000000,0.53225806,0.66000000,0.58928571
29,0.83865094,0.53666667,0.51903114,1.00000000,0.68337130,1.06406510,0.47000000,0.48421053,0.92000000,0.63448276
30,0.53918171,0.72000000,0.64601770,0.97333333,0.77659574,0.78921235,0.58000000,0.55128205,0.86000000,0.67187500
31,0.54427534,0.73000000,0.67875648,0.87333333,0.76384840,0.77238357,0.52000000,0.51562500,0.66000000,0.57894737
32,0.58315927,0.68666667,0.64583333,0.82666667,0.72514620,0.73498321,0.54000000,0.53225806,0.66000000,0.58928571
33,0.45084876,0.81666667,0.80645161,0.83333333,0.81967213,0.81224471,0.50000000,0.50000000,0.52000000,0.50980392
34,0.49114037,0.81000000,0.75977654,0.90666667,0.82674772,0.77310115,0.54000000,0.53448276,0.62000000,0.57407407
35,0.44200334,0.83666667,0.77900552,0.94000000,0.85196375,0.81154346,0.53000000,0.52173913,0.72000000,0.60504202
36,0.63505608,0.61000000,0.92307692,0.24000000,0.38095238,0.99132526,0.53000000,0.71428571,0.10000000,0.17543860
37,0.40098730,0.84333333,0.76410256,0.99333333,0.86376812,0.87088811,0.57000000,0.55072464,0.76000000,0.63865546
38,0.41932863,0.82000000,0.96153846,0.66666667,0.78740157,0.91137916,0.54000000,0.59090909,0.26000000,0.36111111
39,0.40531626,0.84666667,0.79885057,0.92666667,0.85802469,0.87802094,0.55000000,0.54545455,0.60000000,0.57142857
40,0.49028152,0.81666667,0.75132275,0.94666667,0.83775811,0.76773667,0.53000000,0.52380952,0.66000000,0.58407080
41,0.83244997,0.53000000,0.80000000,0.08000000,0.14545455,1.18983531,0.54000000,0.70000000,0.14000000,0.23333333
