epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.70170301,0.50333333,0.50239234,0.70000000,0.58495822,0.70574087,0.41000000,0.43661972,0.62000000,0.51239669
2,0.70587689,0.49666667,0.49831650,0.98666667,0.66219239,0.71714443,0.50000000,0.50000000,1.00000000,0.66666667
3,0.69428492,0.54000000,0.52238806,0.93333333,0.66985646,0.70538145,0.46000000,0.47826087,0.88000000,0.61971831
4,0.68960625,0.57000000,0.55223881,0.74000000,0.63247863,0.70113111,0.46000000,0.47058824,0.64000000,0.54237288
5,0.68861914,0.54333333,0.52416357,0.94000000,0.67303103,0.70430815,0.47000000,0.48421053,0.92000000,0.63448276
6,0.68937260,0.51666667,0.50865052,0.98000000,0.66970387,0.70856339,0.50000000,0.50000000,0.98000000,0.66216216
7,0.68369728,0.57000000,0.53992395,0.94666667,0.68765133,0.70454007,0.47000000,0.48387097,0.90000000,0.62937063
8,0.68033040,0.63000000,0.60893855,0.72666667,0.66261398,0.70049107,0.45000000,0.46153846,0.60000000,0.52173913
9,0.68116593,0.55000000,0.52707581,0.97333333,0.68384075,0.70457226,0.48000000,0.48958333,0.94000000,0.64383562
10,0.68046844,0.54000000,0.52142857,0.97333333,0.67906977,0.70789433,0.49000000,0.49484536,0.96000000,0.65306122
11,0.68356854,0.53000000,0.73684211,0.09333333,0.16568047,0.70763409,0.48000000,0.00000000,0.00000000,0.00000000
12,0.67277628,0.62666667,0.65079365,0.54666667,0.59420290,0.70428145,0.45000000,0.45283019,0.48000000,0.46601942
13,0.67032963,0.65666667,0.64071856,0.71333333,0.67507886,0.70304549,0.49000000,0.49180328,0.60000000,0.54054054
14,0.66996795,0.59000000,0.55421687,0.92000000,0.69172932,0.70669597,0.49000000,0.49438202,0.88000000,0.63309353
15,0.66894037,0.61666667,0.73333333,0.36666667,0.48888889,0.70254791,0.47000000,0.44827586,0.26000000,0.32911392
16,0.66426563,0.67333333,0.62500000,0.86666667,0.72625698,0.70532811,0.45000000,0.46753247,0.72000000,0.56692913
17,0.66458946,0.62000000,0.73684211,0.37333333,0.49557522,0.70469970,0.46000000,0.42307692,0.22000000,0.28947368
18,0.68338877,0.52000000,0.51020408,1.00000000,0.67567568,0.73005855,0.50000000,0.50000000,1.00000000,0.66666667
19,0.65790439,0.71666667,0.70967742,0.73333333,0.72131148,0.70496136,0.48000000,0.48333333,0.58000000,0.52727273
20,0.67047459,0.54666667,0.52482270,0.98666667,0.68518519,0.72014815,0.50000000,0.50000000,0.98000000,0.66216216
21,0.65283638,0.69000000,0.65405405,0.80666667,0.72238806,0.70474732,0.50000000,0.50000000,0.70000000,0.58333333
22,0.65248150,0.66666667,0.75510204,0.49333333,0.59677419,0.70439070,0.46000000,0.44736842,0.34000000,0.38636364
23,0.64833456,0.71000000,0.71724138,0.69333333,0.70508475,0.70153838,0.49000000,0.49090909,0.54000000,0.51428571
24,0.64572901,0.71666667,0.67379679,0.84000000,0.74777448,0.70479292,0.50000000,0.50000000,0.70000000,0.58333333
25,0.64436501,0.70666667,0.77192982,0.58666667,0.66666667,0.70426667,0.46000000,0.45454545,0.40000000,0.42553191
26,0.64419585,0.66000000,0.75000000,0.48000000,0.58536585,0.70663494,0.46000000,0.44736842,0.34000000,0.38636364
27,0.64737141,0.57000000,0.53962264,0.95333333,0.68915663,0.71653026,0.49000000,0.49462366,0.92000000,0.64335664
28,0.66151524,0.55333333,0.52857143,0.98666667,0.68837209,0.72977209,0.48000000,0.48958333,0.94000000,0.64383562
29,0.63322508,0.74000000,0.74657534,0.72666667,0.73648649,0.70791090,0.49000000,0.49056604,0.52000000,0.50485437
30,0.67961270,0.53333333,0.51724138,1.00000000,0.68181818,0.75549567,0.49000000,0.49494949,0.98000000,0.65771812
31,0.62632155,0.74000000,0.71176471,0.80666667,0.75625000,0.70759988,0.48000000,0.48387097,0.60000000,0.53571429
32,0.65479583,0.55333333,0.52857143,0.98666667,0.68837209,0.73967040,0.48000000,0.48958333,0.94000000,0.64383562
33,0.62063313,0.74333333,0.71345029,0.81333333,0.76012461,0.71083313,0.47000000,0.47619048,0.60000000,0.53097345
34,0.64664072,0.59666667,0.93939394,0.20666667,0.33879781,0.73357105,0.50000000,0.50000000,0.08000000,0.13793103
35,0.62494528,0.63333333,0.58264463,0.94000000,0.71938776,0.71950269,0.49000000,0.49425287,0.86000000,0.62773723
36,0.61040878,0.74000000,0.77272727,0.68000000,0.72340426,0.70971358,0.49000000,0.48888889,0.44000000,0.46315789
37,0.61304289,0.67666667,0.61777778,0.92666667,0.74133333,0.71711063,0.49000000,0.49397590,0.82000000,0.61654135
38,0.60399997,0.75333333,0.72891566,0.80666667,0.76582278,0.70831025,0.47000000,0.47457627,0.56000000,0.51376147
39,0.60759389,0.67666667,0.80459770,0.46666667,0.59071730,0.71996170,0.57000000,0.62962963,0.34000000,0.44155844
40,0.62277752,0.61666667,0.56862745,0.96666667,0.71604938,0.74033433,0.49000000,0.49438202,0.88000000,0.63309353
41,0.59078211,0.76000000,0.73780488,0.80666667,0.77070064,0.71114945,0.48000000,0.48214286,0.54000000,0.50943396
42,0.68887484,0.54000000,0.52083333,1.00000000,0.68493151,0.80527401,0.49000000,0.49494949,0.98000000,0.65771812
43,0.63411635,0.58666667,1.00000000,0.17333333,0.29545455,0.74573869,0.50000000,0.50000000,0.06000000,0.10714286
44,0.58019155,0.76666667,0.71978022,0.87333333,0.78915663,0.71236938,0.45000000,0.46031746,0.58000000,0.51327434
45,0.60204977,0.67000000,0.93220339,0.36666667,0.52631579,0.72907835,0.53000000,0.58823529,0.20000000,0.29850746
46,0.59533280,0.67333333,0.85135135,0.42000000,0.56250000,0.73477566,0.53000000,0.57142857,0.24000000,0.33802817
47,0.56550610,0.78000000,0.77631579,0.78666667,0.78145695,0.72255361,0.49000000,0.48979592,0.48000000,0.48484848
48,0.56246758,0.79666667,0.80272109,0.78666667,0.79461279,0.71633172,0.50000000,0.50000000,0.48000000,0.48979592
49,0.55708826,0.78333333,0.74011299,0.87333333,0.80122324,0.71600020,0.47000000,0.47540984,0.58000000,0.52252252
50,0.57363605,0.69000000,0.62231760,0.96666667,0.75718016,0.73099202,0.51000000,0.50602410,0.84000000,0.63157895
51,0.55076826,0.77333333,0.71578947,0.90666667,0.80000000,0.72471899,0.45000000,0.46268657,0.62000000,0.52991453
52,0.66747451,0.56333333,0.53380783,1.00000000,0.69605568,0.82700384,0.49000000,0.49484536,0.96000000,0.65306122
53,0.54308760,0.78666667,0.72631579,0.92000000,0.81176471,0.72954756,0.45000000,0.46153846,0.60000000,0.52173913
54,0.53295583,0.82000000,0.85294118,0.77333333,0.81118881,0.72471875,0.49000000,0.48936170,0.46000000,0.47422680
55,0.53655010,0.80666667,0.90350877,0.68666667,0.78030303,0.72356993,0.58000000,0.61111111,0.44000000,0.51162791
56,0.67072380,0.54000000,1.00000000,0.08000000,0.14814815,0.83803451,0.50000000,0.50000000,0.04000000,0.07407407
57,0.75786698,0.53000000,0.51546392,1.00000000,0.68027211,0.94859236,0.49000000,0.49494949,0.98000000,0.65771812
58,0.51356876,0.83000000,0.84137931,0.81333333,0.82711864,0.72634476,0.48000000,0.48000000,0.48000000,0.48000000
59,0.52145445,0.79333333,0.93137255,0.63333333,0.75396825,0.73689115,0.57000000,0.61290323,0.38000000,0.46913580
60,0.50771356,0.81000000,0.75690608,0.91333333,0.82779456,0.73212075,0.48000000,0.48387097,0.60000000,0.53571429
61,0.53526992,0.76000000,0.97560976,0.53333333,0.68965517,0.75870985,0.54000000,0.60000000,0.24000000,0.34285714
62,0.49096507,0.84333333,0.85034014,0.83333333,0.84175084,0.73914158,0.51000000,0.51063830,0.48000000,0.49484536
63,0.49325752,0.80333333,0.74594595,0.92000000,0.82388060,0.75370628,0.45000000,0.46153846,0.60000000,0.52173913
64,0.59463489,0.63333333,0.57692308,1.00000000,0.73170732,0.84963858,0.53000000,0.51685393,0.92000000,0.66187050
65,0.48184562,0.84000000,0.91129032,0.75333333,0.82481752,0.75070578,0.54000000,0.55000000,0.44000000,0.48888889
66,0.50047976,0.81000000,0.96039604,0.64666667,0.77290837,0.75746661,0.54000000,0.57692308,0.30000000,0.39473684
67,0.54379475,0.69666667,1.00000000,0.39333333,0.56459330,0.78345227,0.52000000,0.57142857,0.16000000,0.25000000
68,0.49393317,0.77333333,0.69711538,0.96666667,0.81005587,0.77048284,0.48000000,0.48611111,0.70000000,0.57377049
69,0.46061164,0.85666667,0.82822086,0.90000000,0.86261981,0.75669724,0.48000000,0.48214286,0.54000000,0.50943396
70,0.50837672,0.73333333,0.65765766,0.97333333,0.78494624,0.81987977,0.50000000,0.50000000,0.78000000,0.60937500
71,0.45649445,0.83000000,0.77348066,0.93333333,0.84592145,0.77312744,0.45000000,0.46153846,0.60000000,0.52173913
72,0.49105501,0.78000000,1.00000000,0.56000000,0.71794872,0.78879666,0.54000000,0.60000000,0.24000000,0.34285714
73,0.43644696,0.88000000,0.86075949,0.90666667,0.88311688,0.74594861,0.52000000,0.51923077,0.54000000,0.52941176
74,0.49790347,0.76333333,1.00000000,0.52666667,0.68995633,0.79195374,0.52000000,0.55555556,0.20000000,0.29411765
75,0.42465171,0.88666667,0.84939759,0.94000000,0.89240506,0.75962991,0.53000000,0.52830189,0.56000000,0.54368932
76,0.50410724,0.72333333,1.00000000,0.44666667,0.61751152,0.82004583,0.55000000,0.69230769,0.18000000,0.28571429
77,0.53941274,0.66666667,0.60080645,0.99333333,0.74874372,0.88983572,0.54000000,0.52272727,0.92000000,0.66666667
